"cause","effect"
"AP3B1","CLTC"
"AP3B1","CSNK1A1"
"AP3B1","XPOT"
"APAF1","AVEN"
"APAF1","CASP3"
"APBB1","APLP2"
"APBB1IP","PFN1"
"APBB2","SMURF1"
"APBB3","APLP2"
"APC","CTBP1"
"APC","SIAH1"
"APCS","CRP"
"APEX1","ANP32A"
"APEX1","HDAC1"
"APEX1","HMGB2"
"APEX1","PCNA"
"APLP1","CDKN1A"
"APOA1","ABCA1"
"APOA1","APOA1BP"
"APOA1","ATP5B"
"APOA1","MAPK6"
"APOA1BP","MAPK6"
"APOE","APP"
"APOE","CNTF"
"APOE","CTSB"
"APOE","MAP2"
"APOE","PLTP"
"APP","ABL1"
"APP","BACE1"
"APP","CAV1"
"APP","CDK5"
"APP","COL4A2"
"APP","FLOT1"
"APP","GSK3B"
"APP","HMOX2"
"APP","HSD17B10"
"APP","HSPG2"
"APP","HTRA2"
"APP","IDE"
"APP","NF1"
"APP","NID1"
"APP","NUMB"
"APP","TP53BP2"
"APPBP2","CHMP5"
"APPBP2","MFSD3"
"APPL1","DCC"
"APPL1","FSHR"
"APPL1","PIK3CA"
"APPL1","RAB5A"
"AQP1","EFEMP2"
"AR","AES"
"AR","ATF2"
"AR","CDC37"
"AR","CREBBP"
"AR","EP300"
"AR","FOXA1"
"AR","FOXO1"
"AR","GTF2F1"
"AR","GTF2H1"
"AR","KAT2B"
"AR","MED14"
"AR","NCOA1"
"AR","NCOA2"
"AR","NCOA3"
"AR","NCOA4"
"AR","NCOR1"
"AR","NFKB1"
"AR","NRIP1"
"AR","NSD1"
"AR","PIAS1"
"AR","PIAS2"
"AR","PQBP1"
"AR","PRPF6"
"AR","RB1"
"AR","RBAK"
"AR","RNF14"
"AR","RUNX1"
"AR","SMAD1"
"AR","SP1"
"AR","SPDEF"
"AR","TCF4"
"AR","TMF1"
"AR","TRIM24"
"AR","UBE2I"
"AR","UBE3A"
"ARAF","YWHAG"
"ARF1","MDM4"
"ARF3","ATN1"
"ARF6","EXOC5"
"ARF6","PIP5K1A"
"ARFGAP1","MAP1LC3B"
"ARFGAP1","SMN1"
"ARFGAP1","TK1"
"ARFGEF2","ARFGEF1"
"ARFGEF2","PRPF40A"
"ARHGAP1","PTPN11"
"ARHGAP1","RASA1"
"ARHGAP21","RHOA"
"ARHGAP26","PKN1"
"ARHGAP5","PRKAR2A"
"ARHGAP5","PTPN18"
"ARHGAP5","RASA1"
"ARHGAP5","SMURF2"
"ARHGDIA","CBX5"
"ARHGDIA","TRIM13"
"ARHGDIB","RAC2"
"ARHGDIB","RHOH"
"ARHGEF1","TRIM8"
"ARHGEF11","ABCA1"
"ARHGEF11","GNA12"
"ARHGEF11","GNA13"
"ARHGEF11","PLXNB3"
"ARHGEF12","ABCA1"
"ARHGEF12","CD44"
"ARHGEF12","GNA12"
"ARHGEF12","GNA13"
"ARHGEF12","IGF1R"
"ARHGEF12","RHOA"
"ARHGEF18","RHOA"
"ARHGEF2","PAK1"
"ARHGEF6","YWHAG"
"ARHGEF7","ARHGEF6"
"ARHGEF7","CBLB"
"ARHGEF7","CDC42"
"ARHGEF7","GIT2"
"ARHGEF7","PAK3"
"ARHGEF7","YWHAG"
"ARID4A","HDAC2"
"ARID4A","SIN3A"
"ARL15","GAPDH"
"ARL15","RPL8"
"ARL15","UBR1"
"ARL2","UNC119"
"ARL3","TLE1"
"ARL5A","CBX5"
"ARL8B","ATP5J2"
"ARNT","AHR"
"ARNT","ARNT2"
"ARNT","EP300"
"ARNT","EPAS1"
"ARNT","HIF1A"
"ARNT","NCOA1"
"ARNT","NCOA2"
"ARNT","SIM1"
"ARNT","TRIP11"
"ARNT2","ARNT"
"ARNTL","AHR"
"ARNTL","CLOCK"
"ARNTL","PER3"
"ARPC1B","ACTB"
"ARPC1B","WAS"
"ARPC3","LTA4H"
"ARPC5","MAPKAPK2"
"ARRB1","MAPK10"
"ARRB1","MDM2"
"ARRB2","AIP"
"ARRB2","DVL2"
"ARRB2","PDE4D"
"ASCC2","SNRPB"
"ASGR1","DHFR"
"ASGR1","HSP90AA1"
"ASGR2","ASGR1"
"ATF1","CREB1"
"ATF1","CREBBP"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF1","SPI1"
"ATF2","AR"
"ATF2","ATF7"
"ATF2","CEBPA"
"ATF2","CREB5"
"ATF2","HMGA1"
"ATF2","JDP2"
"ATF2","RB1"
"ATF2","SMAD3"
"ATF2","UTF1"
"ATF3","BATF3"
"ATF3","JUN"
"ATF3","JUNB"
"ATF3","JUND"
"ATF4","DDIT3"
"ATF4","GTF2F2"
"ATF4","NFE2L1"
"ATF5","CDC34"
"ATF6","ATF6B"
"ATF7IP","DISC1"
"ATF7IP","GTF2F1"
"ATF7IP","GTF2H1"
"ATF7IP","LAMA4"
"ATF7IP","LUC7L2"
"ATF7IP","PAPPA2"
"ATF7IP","PCDH1"
"ATF7IP","PEX6"
"ATF7IP","PIAS3"
"ATF7IP","POLR2D"
"ATF7IP","POLR2G"
"ATF7IP","PSG3"
"ATF7IP","QRICH1"
"ATF7IP","SDK1"
"ATF7IP","SENP3"
"ATF7IP","SETDB1"
"ATF7IP","SPTBN1"
"ATF7IP","SVEP1"
"ATF7IP","TTC3"
"ATM","CHEK1"
"ATM","EIF4EBP1"
"ATM","H2AFX"
"ATM","MDC1"
"ATM","MDM2"
"ATM","MDM4"
"ATM","MRE11A"
"ATM","NBN"
"ATM","PRKDC"
"ATM","RAD17"
"ATM","RAD9A"
"ATM","RBBP8"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XPA"
"ATM","XRCC5"
"ATN1","AES"
"ATN1","AGRN"
"ATN1","CBFA2T2"
"ATN1","DMPK"
"ATN1","EFCAB4B"
"ATN1","MDFI"
"ATN1","RBM10"
"ATN1","RBPMS"
"ATN1","RNF31"
"ATN1","SIAH1"
"ATP2B1","CSE1L"
"ATP2B1","MBIP"
"ATP2B1","SEC31A"
"ATP2B4","RASSF1"
"ATP5A1","ATP5C1"
"ATP5B","ATP5C1"
"ATP5J2","CCDC137"
"ATP5J2","ZFPL1"
"ATP6V1A","ANXA7"
"ATP6V1A","TK1"
"ATP6V1E1","ALDOA"
"ATP6V1E1","XRCC6"
"ATPIF1","GSK3B"
"ATR","CHD4"
"ATR","CHEK1"
"ATR","MSH2"
"ATR","NBN"
"ATR","TREX1"
"ATR","XRCC5"
"ATRX","HDAC4"
"ATXN1","ANKHD1"
"ATXN1","ANP32A"
"ATXN1","ATXN1L"
"ATXN1","ATXN2"
"ATXN1","CCNK"
"ATXN1","CDK6"
"ATXN1","DCTN3"
"ATXN1","GSPT1"
"ATXN1","IPO8"
"ATXN1","KLHL8"
"ATXN1","POM121"
"ATXN1","PQBP1"
"ATXN1","PSMC3"
"ATXN1","PUM1"
"ATXN1","RAD54L2"
"ATXN1","SPEN"
"ATXN1","TBC1D5"
"ATXN1","TRIM32"
"ATXN1","U2AF2"
"ATXN1","UBE2E3"
"ATXN1","USP7"
"ATXN1L","AES"
"ATXN1L","ANKHD1"
"ATXN1L","CBFA2T2"
"ATXN1L","CHD6"
"ATXN1L","CTBP1"
"ATXN1L","GORASP2"
"ATXN1L","RAD54L2"
"ATXN1L","TRIP11"
"ATXN2","ATXN1"
"ATXN2","TDRD7"
"ATXN2","ZNRD1"
"ATXN3","ANXA7"
"ATXN3","MKNK1"
"ATXN7","CRX"
"ATXN7","TP53BP2"
"AUP1","ITGA2B"
"AUP1","RNF11"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","PPP1CC"
"AURKB","INCENP"
"AVPR1A","PRKCA"
"AVPR1B","AVP"
"AVPR2","ARRB2"
"AVPR2","C1QTNF1"
"AVPR2","GRK5"
"AXIN1","APC"
"AXIN1","CSNK1A1"
"AXIN1","CTNNB1"
"AXIN1","DAB2"
"AXIN1","DVL1"
"AXIN1","DVL2"
"AXIN1","GAK"
"AXIN1","GSK3B"
"AXIN1","JUP"
"AXIN1","PIAS1"
"AXIN1","SH3GL1"
"AXL","GAS6"
"B2M","CD1B"
"B2M","HLA-A"
"BACE1","APP"
"BACE1","CSNK1D"
"BACH1","MAFK"
"BAD","EWSR1"
"BAD","MAPK8"
"BAD","PPP1CA"
"BAD","WASF1"
"BAD","YWHAG"
"BAD","YWHAQ"
"BAG1","BCL2"
"BAG1","PSMD1"
"BAG3","HSPA1A"
"BAI1","DLG4"
"BAI1","PHYHIP"
"BAI2","SHANK1"
"BAIAP2","DIAPH1"
"BAIAP2","YWHAG"
"BARD1","BRD7"
"BARD1","IKBKAP"
"BARD1","KBTBD7"
"BARD1","MDC1"
"BARD1","MSH2"
"BARD1","POLR2A"
"BARD1","RBBP8"
"BARD1","SETDB1"
"BARD1","TCERG1"
"BATF3","CREB3L3"
"BAX","BAK1"
"BAX","BCL2L1"
"BAX","BID"
"BAX","ERN1"
"BAX","MCL1"
"BAX","SH3GLB1"
"BAX","VDAC1"
"BAX","YWHAQ"
"BBS10","HDAC6"
"BBS10","MAP3K7"
"BBS10","MAPK6"
"BBS4","PCM1"
"BCAP31","MYH10"
"BCAR1","CD2AP"
"BCAR1","CSPG4"
"BCAR1","PKD1"
"BCAR1","PPP1R15A"
"BCAR1","PTPN12"
"BCL10","MALT1"
"BCL10","MAP3K7"
"BCL10","PELI2"
"BCL2","MAPK3"
"BCL2L1","AVEN"
"BCL2L1","FBP1"
"BCL2L1","RAD9A"
"BCL2L11","MAPK8"
"BCL2L11","MAPK9"
"BCL3","GTF2A1"
"BCL3","NFKB2"
"BCL3","RXRA"
"BCL6","BCL6B"
"BCL6","RUNX1T1"
"BCOR","HDAC1"
"BCOR","HDAC4"
"BDKRB2","GNA11"
"BDKRB2","PTPN11"
"BDNF","CPE"
"BDP1","RB1"
"BECN1","PIK3R2"
"BEGAIN","RBL1"
"BGN","BMP4"
"BGN","COL4A2"
"BICD2","NEK9"
"BICD2","RAB6A"
"BIN1","ATXN2"
"BIN1","DNM2"
"BIN1","RIN3"
"BIRC2","CASP3"
"BIRC2","CASP7"
"BIRC2","DIABLO"
"BIRC2","GSPT1"
"BIRC2","HTRA2"
"BIRC2","IKBKG"
"BIRC2","RIPK2"
"BIRC2","TRADD"
"BIRC2","UBB"
"BIRC2","UBE2J1"
"BIRC3","CASP7"
"BIRC5","AURKB"
"BIRC5","CDK4"
"BIRC6","DIABLO"
"BLK","FCGR2B"
"BLK","UBE3A"
"BLM","WRN"
"BLNK","LAT2"
"BLNK","NAP1L1"
"BLNK","NAP1L4"
"BMI1","PHC1"
"BMI1","RNF2"
"BMP1","CHRD"
"BMP1","COL1A1"
"BMP1","COL5A1"
"BMP1","COL7A1"
"BMP1","HSPG2"
"BMP1","LAMB3"
"BMP4","BMPR2"
"BMP4","CHRDL2"
"BMPR1A","BMPR2"
"BMPR1A","TGFBRAP1"
"BMPR1A","ZMYND11"
"BMPR1B","VEPH1"
"BMPR2","CTBP1"
"BMPR2","GDF6"
"BMPR2","HNRNPR"
"BMPR2","LSM10"
"BMPR2","LSP1"
"BMPR2","MAPK8"
"BMPR2","NOP56"
"BMPR2","PDZRN3"
"BMPR2","PMPCA"
"BMPR2","RABGGTA"
"BMPR2","TOPBP1"
"BMX","ITK"
"BNIP3","BCL2"
"BNIP3L","BNIP3"
"BNIPL","BCL2"
"BRAF","MAP2K1"
"BRAF","MAPK1"
"BRAF","YWHAB"
"BRAF","YWHAG"
"BRAF","YWHAQ"
"BRCA1","ATF1"
"BRCA1","BRCA2"
"BRCA1","BRCC3"
"BRCA1","BRIP1"
"BRCA1","CCNA1"
"BRCA1","CCNA2"
"BRCA1","CDK2"
"BRCA1","CREBBP"
"BRCA1","DHX9"
"BRCA1","EP300"
"BRCA1","JUNB"
"BRCA1","KPNA1"
"BRCA1","KPNA6"
"BRCA1","MED1"
"BRCA1","MED21"
"BRCA1","MSH2"
"BRCA1","NBN"
"BRCA1","NFYA"
"BRCA1","RAD51"
"BRCA1","RBBP4"
"BRCA1","RBBP8"
"BRCA1","RFC1"
"BRCA1","TP53BP1"
"BRCA1","TRRAP"
"BRCA2","C11orf30"
"BRCA2","KAT2B"
"BRCA2","RAD51"
"BRCA2","SHFM1"
"BRD3","BRD7"
"BRD4","RFC1"
"BRD7","BRD3"
"BRD8","TRRAP"
"BRF1","GTF3C3"
"BRF1","GTF3C4"
"BRF1","GTF3C5"
"BRF1","RBL1"
"BRF1","RBL2"
"BRMS1","RBBP4"
"BRMS1","RBP1"
"BRMS1","SIN3A"
"BSG","PDLIM7"
"BTG3","CNOT8"
"BTK","BLNK"
"BTK","BMX"
"BTK","CAV1"
"BTK","CMTM3"
"BTK","DAPP1"
"BTK","EEF1A2"
"BTK","FAS"
"BTK","GNG2"
"BTK","HCK"
"BTK","ITK"
"BTK","KIT"
"BTK","LYN"
"BTK","MAN2B1"
"BTK","MYD88"
"BTK","PIK3AP1"
"BTK","PIP4K2A"
"BTK","PLCG2"
"BTK","PRKCB"
"BTK","PRKCQ"
"BTK","SYK"
"BTK","TEC"
"BTK","TLR4"
"BTK","VAV1"
"BTK","WAS"
"BTLA","TNFRSF14"
"BTRC","CDC34"
"BTRC","FBXW11"
"BTRC","HNRNPU"
"BTRC","KIAA0947"
"BTRC","SKP1"
"BTRC","SUFU"
"BTRC","UBQLN2"
"BUB1","AP3B1"
"BUB1","APC"
"BUB1","BUB3"
"BUB1","CDC20"
"BUB1","PLK1"
"BUB1B","BRCA2"
"BUB1B","CDC20"
"C10orf10","CCDC85B"
"C10orf10","USHBP1"
"C10orf12","EHMT2"
"C11orf30","CBX1"
"C11orf58","RPLP1"
"C11orf58","SF3B1"
"C14orf1","HMGB1"
"C14orf1","POLE2"
"C14orf1","PQBP1"
"C14orf1","RPS6KA6"
"C14orf1","SNRPB"
"C14orf1","SNRPG"
"C16orf74","UNC119"
"C19orf57","C19orf25"
"C19orf60","PIAS3"
"C1D","TSNAX"
"C1QA","C1QB"
"C1QA","C1R"
"C1QA","CR1"
"C1QA","HIPK3"
"C1QTNF1","UBQLN4"
"C2orf44","CSNK1G1"
"C2orf44","PDPK1"
"C3","C2"
"C3","CFB"
"C3","CFP"
"C3","CR1"
"C3","CR2"
"C3","CTSG"
"C3","GC"
"C3","LRP1"
"C3AR1","C3"
"C4orf17","CHD3"
"C5AR1","ARRB2"
"C5AR1","GNAI2"
"C5AR1","WAS"
"C6orf136","CSNK2B"
"C6orf47","FGFR3"
"C7orf25","CEP70"
"C7orf25","UBE2D1"
"C8orf33","FEZ1"
"C8orf33","HAP1"
"C9orf114","CSNK2B"
"C9orf78","SUPT5H"
"CABP1","CACNA1A"
"CACHD1","XAB2"
"CACNA1C","RYR2"
"CAD","YWHAG"
"CADPS2","DMD"
"CALCOCO1","EP300"
"CALCOCO2","FASTK"
"CALCOCO2","LNX1"
"CALCOCO2","VPS72"
"CALCRL","RAMP1"
"CALM1","EWSR1"
"CALM1","STRN4"
"CALM1","YWHAE"
"CALR","APOB"
"CALR","BBS4"
"CALR","FGB"
"CALR","GABARAP"
"CALR","MAPK6"
"CALR","PDIA3"
"CALR","TAPBP"
"CALR","TRAF6"
"CAMK1","EIF4G3"
"CAMK1","HDAC5"
"CAMK2A","ACTN1"
"CAMLG","EGFR"
"CAMLG","KCNA3"
"CAMP","LBP"
"CAND2","CNOT3"
"CANX","APOB"
"CANX","CD3D"
"CANX","EBI3"
"CANX","PRKCSH"
"CANX","SMURF2"
"CAPN1","CAPNS1"
"CAPN1","SPTAN1"
"CAPN2","TNS1"
"CAPN3","YWHAQ"
"CAPRIN1","AKAP10"
"CAPZA1","CD2AP"
"CAPZA1","SH3KBP1"
"CAPZB","RPP14"
"CARD11","IKBKG"
"CARD11","TRAF1"
"CARD9","CCDC85B"
"CARHSP1","TSC22D1"
"CASK","ATP2B4"
"CASK","EPB41"
"CASK","GRIK2"
"CASK","GRIN2A"
"CASK","KCNJ2"
"CASK","LIN7B"
"CASK","PRKD2"
"CASK","SDC3"
"CASK","TANC1"
"CASP1","CARD8"
"CASP1","HTT"
"CASP1","PLA2G4A"
"CASP1","PYCARD"
"CASP14","CASP8"
"CASP2","CFLAR"
"CASP2","CSNK2A1"
"CASP2","DSP"
"CASP2","KPNA2"
"CASP2","RB1"
"CASP3","BCL2"
"CASP3","BIRC6"
"CASP3","CASP10"
"CASP3","CASP6"
"CASP3","CASP8"
"CASP3","CDC42"
"CASP3","CTNNB1"
"CASP3","EIF3J"
"CASP3","EIF4G2"
"CASP3","MCL1"
"CASP3","NEDD4"
"CASP3","PAK2"
"CASP3","PICALM"
"CASP3","PKN1"
"CASP3","PKN2"
"CASP3","PRKDC"
"CASP3","RB1"
"CASP3","ROCK1"
"CASP3","SRP72"
"CASP3","STK3"
"CASP3","STK4"
"CASP3","TOP1"
"CASP3","USO1"
"CASP3","WEE1"
"CASP4","CASP10"
"CASP4","CASP3"
"CASP4","NOD1"
"CASP4","PLA2G4A"
"CASP4","SERPINB9"
"CASP7","CLSPN"
"CASP7","DFFA"
"CASP7","PSIP1"
"CASP7","PSME3"
"CASP8","APAF1"
"CASP8","CASP10"
"CASP8","CASP3"
"CASP8","CASP6"
"CASP8","CFLAR"
"CASP8","CHUK"
"CASP8","EIF2AK2"
"CASP8","HIP1"
"CASP8","KRT18"
"CASP8","MAP1LC3B"
"CASP8","PCYT1A"
"CASP8","PEA15"
"CASP8","PIAS1"
"CASP8","PICALM"
"CASP8","RB1"
"CASP8","RIPK1"
"CASP8","RYBP"
"CASP8","USO1"
"CASP9","PRKCZ"
"CAT","PTPN11"
"CATSPER1","ADAMTSL4"
"CATSPER1","EFEMP2"
"CAV1","ABCB1"
"CAV1","APP"
"CAV1","BMX"
"CAV1","DNM1"
"CAV1","EGFR"
"CAV1","GJA1"
"CAV1","GNAI2"
"CAV1","HRAS"
"CAV1","INSR"
"CAV1","IRS1"
"CAV1","MALL"
"CAV1","NOS3"
"CAV1","PLD1"
"CAV1","PTEN"
"CAV1","PTGS2"
"CAV1","RHOA"
"CAV1","TRPC1"
"CAV2","CAV1"
"CAV2","EGFR"
"CAV2","MALL"
"CAV2","RASA1"
"CBFA2T2","SIN3A"
"CBFB","CBFA2T2"
"CBL","ABL1"
"CBL","CD2AP"
"CBL","EGFR"
"CBL","INSR"
"CBL","ITCH"
"CBL","ITK"
"CBL","KHDRBS1"
"CBL","KRT18"
"CBL","LYN"
"CBL","NOTCH1"
"CBL","PRKCA"
"CBL","PSMC1"
"CBL","SCN5A"
"CBL","SH3KBP1"
"CBL","SORBS1"
"CBL","SORBS2"
"CBL","SPRY2"
"CBL","SRC"
"CBL","TRAF6"
"CBL","UBASH3B"
"CBL","UBE2G1"
"CBL","YWHAB"
"CBL","YWHAG"
"CBL","YWHAQ"
"CBL","YWHAZ"
"CBLB","ARHGEF7"
"CBLB","CRY1"
"CBLB","GORASP2"
"CBLB","NEDD4"
"CBLB","RNF11"
"CBLB","SORBS3"
"CBLB","SPRY2"
"CBX1","TRIM24"
"CBX4","CTBP1"
"CBX4","RING1"
"CBX5","CBX3"
"CBX5","MIS12"
"CBX5","TAF4"
"CBX5","TRIM24"
"CBX8","RING1"
"CCAR1","BRD7"
"CCDC116","CCDC85B"
"CCDC137","MPP3"
"CCDC85B","C19orf25"
"CCDC85B","FAM50B"
"CCDC85B","MCM10"
"CCDC85B","NRIP1"
"CCDC85B","PKN1"
"CCDC85B","PLOD3"
"CCDC85B","POLR2L"
"CCDC85B","RBM7"
"CCDC85B","SCNM1"
"CCDC85B","VPS72"
"CCDC90B","NIPSNAP3A"
"CCK","CPE"
"CCL11","CCR5"
"CCL13","CCR5"
"CCL13","MMP1"
"CCL13","MMP3"
"CCL14","CCR5"
"CCL18","TLE1"
"CCL19","CCL22"
"CCL19","CCR10"
"CCL19","CXCL13"
"CCL2","CCR1"
"CCL2","CCR5"
"CCL2","MMP3"
"CCL21","IGFBP7"
"CCL22","DPP4"
"CCL22","VCAM1"
"CCL25","CCR10"
"CCL3","SRGN"
"CCL3L1","CCR5"
"CCL3L3","CCR5"
"CCL4","CCL3"
"CCL4","CCR1"
"CCL4","CCR3"
"CCL4","CCR5"
"CCL5","CCR1"
"CCL5","CCR5"
"CCL5","IGFBP7"
"CCL5","PIGR"
"CCL7","CCR1"
"CCL7","CCR5"
"CCL7","MMP1"
"CCL8","CCR1"
"CCL8","CCR3"
"CCL8","CCR5"
"CCL8","MMP3"
"CCNA2","CDK2"
