,node,importance,In CGC
252,ACVR2A,0.000368076940082905,Yes
253,SMAD3,0.0003674729506539543,Yes
254,HLF,0.0003649545921658577,Yes
255,ACVR2B,0.00036370295116748455,No
256,VCL,0.00036312373287251,No
257,E2F2,0.00036311018042770217,No
259,CASP3,0.0003622065847098804,Yes
260,NUDT3,0.00035970610145688326,No
261,RORA,0.0003583564482864191,No
262,NFIC,0.00035750361999793234,No
263,CCNE2,0.0003568249105902115,No
264,FRMD6,0.0003557952385847291,No
265,POU2F1,0.00035146603754117816,No
267,TUBB,0.0003503971570776096,No
268,IGF1,0.00035018253727296683,No
269,TGOLN2,0.00034942305241783154,No
270,VAV3,0.00034902797786266754,No
271,CHD9,0.0003489045255367051,No
272,TBPL1,0.000348703237209932,No
273,THRA,0.0003470253587189112,No
274,USF1,0.00034657207526205084,No
275,PGR,0.0003464129899084017,No
278,PER2,0.00034529472810577034,No
279,TMBIM6,0.0003451148041277392,No
281,FZD9,0.0003439049179181193,No
282,PCNA,0.0003437700347857291,No
284,LYN,0.00034224992085673563,No
285,PPARG,0.0003411895006527147,Yes
286,CAND1,0.00034105636221906915,No
287,SMURF2,0.0003408485641859834,No
288,STAT3,0.0003402834825180611,Yes
289,FOXA2,0.00034021049144541813,No
290,DAZAP2,0.0003385479743947775,No
291,PTEN,0.00033703376495409473,Yes
293,MARCKS,0.00033546667476642137,No
294,RYBP,0.00033333976023335027,No
295,NFIB,0.00033122319659814055,Yes
296,TAOK1,0.0003306283197813054,No
298,IGF1R,0.0003292715879995517,No
299,LBR,0.00032805443974572805,No
