"cause","effect"
"ACTR1A","DCTN1"
"ACTR1B","CHD3"
"ACTR1B","DCTN1"
"ACTR1B","TK1"
"ACTR2","ACTR3"
"ACTR2","ARPC1B"
"ACTR2","ARPC4"
"ACTR2","ARPC5"
"ACTR2","IQGAP2"
"ACTR2","WASF2"
"ACTR3","CDC42"
"ACTR3","CTTN"
"ACTR3","WASF3"
"ACVR1","AP2B1"
"ACVR1","CHN1"
"ACVR1","FBXO30"
"ACVR1","FGD6"
"ACVR1","FKBP4"
"ACVR1","IKBKB"
"ACVR1","NRAS"
"ACVR1","RAB17"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RAB3B"
"ACVR1","RAP2A"
"ACVR1","RHOJ"
"ACVR1","RRAS2"
"ACVR1","SOCS6"
"ACVR1","UBA52"
"ACVR1","UBE2E3"
"ACVR1B","INHBC"
"ACVR1B","SNX2"
"ACVR1B","TGFBRAP1"
"ACVR2A","BMP6"
"ACVR2B","ACVR1B"
"ACVR2B","INHBC"
"ACVR2B","SNX6"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","ACVR2A"
"ACVRL1","SNX6"
"ACVRL1","TGFB1"
"ACVRL1","TGFB3"
"ACVRL1","TGFBR1"
"ACVRL1","TGFBR2"
"ADAM10","SH3D19"
"ADAM10","TGFA"
"ADAM15","SH3GL2"
"ADAM15","TRIP13"
"ADAM17","MAD2L1"
"ADAM17","NOTCH1"
"ADAM17","PTPN3"
"ADAM17","SH3D19"
"ADAM17","TGFA"
"ADAM17","TNFSF11"
"ADAM19","NRG1"
"ADAM19","TNFSF11"
"ADAM9","SH3D19"
"ADAM9","SH3GL2"
"ADAM9","SH3GLB1"
"ADAM9","SNX9"
"ADAMTS1","A2M"
"ADAMTS10","ANXA7"
"ADAMTS10","PCYT2"
"ADAMTS4","FN1"
"ADAMTSL4","FHL3"
"ADCY5","PRKCA"
"ADCY6","RAF1"
"ADD1","TK1"
"ADIPOR2","ADIPOQ"
"ADM","EDN1"
"ADM","MME"
"ADORA1","GNAZ"
"ADORA2B","EZR"
"ADORA2B","SLC9A3R2"
"ADRA1A","ADRA1B"
"ADRA1A","PPP1R9B"
"ADRA1D","SNTG1"
"ADRA2C","GNAO1"
"ADRB1","ADRA2A"
"ADRB1","ARRB1"
"ADRB1","GPRASP2"
"ADRB2","AKAP12"
"ADRB2","GRK5"
"ADRB2","IL1B"
"ADRB2","SLC9A3R1"
"ADRBK1","ARRB1"
"ADRBK1","CAV1"
"ADRBK1","GIT1"
"ADRBK1","GIT2"
"ADRBK1","MAPK3"
"ADRBK1","PDCL"
"ADRBK1","PDE6G"
"ADRBK1","PEBP1"
"ADRBK1","RPLP2"
"ADRBK1","SRC"
"AES","GTF2E1"
"AFAP1","PRKCE"
"AFAP1","SRC"
"AFF1","MLLT3"
"AFF4","CCNT1"
"AFF4","MLLT1"
"AFTPH","AP1G2"
"AFTPH","UBE3A"
"AGAP1","TK1"
"AGFG1","EPS15"
"AGFG1","PIP4K2A"
"AGFG1","PKIA"
"AGFG1","XPO1"
"AGGF1","CCDC85B"
"AGT","CTSG"
"AGXT","SNCAIP"
"AHNAK","CDKN2A"
"AHR","ARNT"
"AHR","ARNTL"
"AHR","CCNT1"
"AHR","EP300"
"AHR","NCOA1"
"AHR","NCOA2"
"AHR","NCOR2"
"AHR","RB1"
"AHR","SMARCA4"
"AHR","TAF7"
"AIF1","LCP1"
"AIP","TOMM20"
"AKAP1","PRKAR2A"
"AKAP10","P4HB"
"AKAP10","PRKAR1A"
"AKAP10","PRKAR2A"
"AKAP10","PRKAR2B"
"AKAP10","VASP"
"AKAP11","GSK3B"
"AKAP12","FHL1"
"AKAP12","PRKAR2A"
"AKAP13","PRKAR2A"
"AKAP13","YWHAG"
"AKAP3","PRKAR2A"
"AKAP5","IQGAP1"
"AKAP5","KCNJ2"
"AKAP5","PRKAR2A"
"AKAP8","AES"
"AKAP8","TRIOBP"
"AKAP8L","DHX9"
"AKAP8L","KPNB1"
"AKAP8L","LBR"
"AKAP8L","PRPF40A"
"AKAP9","PKN1"
"AKAP9","PPP2R3A"
"AKAP9","TACC3"
"AKT1","AKT1S1"
"AKT1","AKTIP"
"AKT1","ATXN1"
"AKT1","BAD"
"AKT1","BCL2L11"
"AKT1","CAMKK1"
"AKT1","CDC42"
"AKT1","CHUK"
"AKT1","DCTN1"
"AKT1","FANCA"
"AKT1","GSK3B"
"AKT1","MAP3K11"
"AKT1","PFKFB2"
"AKT1","PKN2"
"AKT1","PPP2CA"
"AKT1","PRKDC"
"AKT1","PTEN"
"AKT1","TERT"
"AKT1","TSC2"
"AKT1S1","TCEA2"
"AKT1S1","YWHAG"
"AKT2","AKT1"
"AKT2","AKT1S1"
"AKT2","BCL2A1"
"AKT2","TSC2"
"AKT3","PDPK1"
"ALDH2","IGSF21"
"ALDOA","DYNLL1"
"ALDOA","XRN1"
"ALOX5","ACTB"
"ALS2CR11","CCDC85B"
"ALS2CR11","SSSCA1"
"AMFR","TOM1L1"
"AMH","EGFR"
"AMHR2","TGFBR1"
"AMOTL2","KRT15"
"AMPH","MAPK6"
"AMY1A","AKAP8"
"ANAPC10","CDC27"
"ANGPT1","ANGPT2"
"ANGPTL1","TEK"
"ANK1","NFASC"
"ANK1","SLC4A1"
"ANK1","SLC4A3"
"ANK2","SPTBN1"
"ANK3","HOOK1"
"ANK3","SCN2A"
"ANKRD11","HDAC5"
"ANKRD24","PIP4K2C"
"ANKS1A","YWHAG"
"ANKS1B","LRP2"
"ANKZF1","AURKB"
"ANXA1","CCT7"
"ANXA1","COPS6"
"ANXA1","OTUB1"
"ANXA1","TGM2"
"ANXA1","UBE2D1"
"ANXA1","UNC119"
"ANXA11","PLSCR1"
"ANXA11","S100A6"
"ANXA2","CD99"
"ANXA2","LGALS13"
"ANXA2","S100A10"
"ANXA2","S100A4"
"ANXA2","S100A6"
"ANXA3","IGSF21"
"ANXA6","CDC73"
"ANXA7","COPS6"
"ANXA7","CPSF3L"
"ANXA7","DDAH2"
"ANXA7","MED31"
"ANXA7","MSH2"
"ANXA7","PLD3"
"ANXA7","RBBP4"
"ANXA7","RPL13"
"ANXA7","UBE2D1"
"ANXA7","USP4"
"AP1G1","AFTPH"
"AP1G2","XRN1"
"AP1M1","GAK"
"AP1M1","LDOC1"
"AP1M1","VAMP4"
"AP1M2","AP1B1"
"AP1M2","AP1M1"
"AP1M2","AP1S1"
"AP1M2","GAK"
"AP1M2","TGOLN2"
"AP1S1","AP1G2"
"AP1S1","AP2A2"
"AP1S2","AP1G2"
"AP2A1","BIN1"
"AP2A1","CLINT1"
"AP2A1","EPN1"
"AP2A1","EPS15"
"AP2A1","PICALM"
"AP2A1","RIT1"
"AP2B1","AP2M1"
"AP2B1","ATM"
"AP2B1","HIP1"
"AP2B1","MLH1"
"AP2B1","POM121"
"AP2B1","SMURF1"
"AP2B1","TUBGCP4"
"AP2M1","EHD2"
"AP2M1","TBC1D5"
"AP3B1","CLTC"
"AP3B1","CSNK1A1"
"AP3B1","XPOT"
"AP4M1","ARF1"
"AP4M1","TGOLN2"
"APAF1","AVEN"
"APAF1","CASP3"
"APAF1","HSPA1A"
"APBA1","KCNJ12"
"APBA1","STXBP1"
"APBA3","BCR"
"APBB1","CLSTN1"
"APBB1IP","PFN1"
"APBB1IP","VASP"
"APC","CSNK1E"
"APC","CTBP1"
"APCS","LAMA1"
"APEX1","ANP32A"
"APEX1","EP300"
"APEX1","HMGB2"
"APEX1","PCNA"
"APEX1","SET"
"APEX1","UBE2I"
"APEX2","CCDC85B"
"APEX2","EFEMP2"
"APIP","LNX1"
"APLP1","CDKN1A"
"APLP1","NACA"
"APOA1","ABCA1"
"APOA1","APOA1BP"
"APOA1","CETP"
"APOA1","MAPK6"
"APOA1BP","MAPK6"
"APOB","SEC61B"
"APOE","A2M"
"APOE","APP"
"APOE","CNTF"
"APOE","CTSB"
"APOE","LRP1"
"APOE","LRP2"
"APOE","MAP2"
"APOE","PLTP"
"APP","APBB3"
"APP","BACE1"
"APP","CAV1"
"APP","CDK5"
"APP","FLOT1"
"APP","HMOX2"
"APP","HSD17B10"
"APP","HSPG2"
"APP","HTRA2"
"APP","IDE"
"APP","ITM2B"
"APP","NF1"
"APP","NID1"
"APP","NUMB"
"APP","TP53BP2"
"APPBP2","MFSD3"
"APPL1","AKT1"
"APPL1","APPL2"
"APPL1","PIK3CA"
"APPL1","RAB5A"
"AQP1","EFEMP2"
"AQP4","CSNK2A2"
"AR","AES"
"AR","ATF2"
"AR","CDC37"
"AR","CREBBP"
"AR","EP300"
"AR","ETV5"
"AR","FOXA1"
"AR","FOXO1"
"AR","GTF2F1"
"AR","GTF2F2"
"AR","GTF2H1"
"AR","HDAC1"
"AR","KAT2B"
"AR","MED1"
"AR","MED14"
"AR","NCOA1"
"AR","NCOA2"
"AR","NCOA3"
"AR","NCOA4"
"AR","NCOR1"
"AR","NFKB1"
"AR","NRIP1"
"AR","NSD1"
"AR","PIAS1"
"AR","PIAS2"
"AR","PQBP1"
"AR","PRPF6"
"AR","RB1"
"AR","RBAK"
"AR","RELA"
"AR","RUNX1"
"AR","RUNX2"
"AR","SART3"
"AR","SMAD1"
"AR","SP1"
"AR","SPDEF"
"AR","SUMO1"
"AR","TCF4"
"AR","TMF1"
"AR","UBE2I"
"AR","UBE3A"
"ARAF","YWHAG"
"ARAP1","ARPC3"
"ARF1","ARFGAP1"
"ARF1","ARHGAP21"
"ARF1","ASAP2"
"ARF1","COPE"
"ARF1","CYTH2"
"ARF1","PICK1"
"ARF1","RALA"
"ARF3","ARFIP2"
"ARF6","AP1B1"
"ARF6","ARRB2"
"ARF6","ASAP2"
"ARF6","CYTH2"
"ARF6","EXOC5"
"ARF6","RAB11FIP3"
"ARFGAP1","CSNK1D"
"ARFGAP1","MAP1LC3B"
"ARFGAP1","TK1"
"ARFGEF2","ARFGEF1"
"ARFGEF2","PRPF40A"
"ARHGAP1","BNIPL"
"ARHGAP1","EPB41L1"
"ARHGAP1","PIK3R1"
"ARHGAP1","RASA1"
"ARHGAP15","TGFBR1"
"ARHGAP26","PKN1"
"ARHGAP5","PRKAR2A"
"ARHGAP5","RASA1"
"ARHGAP5","SMURF2"
"ARHGDIA","CBX5"
"ARHGDIA","TRIM13"
"ARHGDIB","EZR"
"ARHGDIB","RAC2"
"ARHGDIB","RAC3"
"ARHGDIB","VAV1"
"ARHGEF1","CSNK1E"
"ARHGEF1","IVNS1ABP"
"ARHGEF1","MYO18A"
"ARHGEF1","TRIM8"
"ARHGEF11","ABCA1"
"ARHGEF11","GNA12"
"ARHGEF12","ABCA1"
"ARHGEF12","CD44"
"ARHGEF12","GNA12"
"ARHGEF12","GNA13"
"ARHGEF12","IGF1R"
"ARHGEF2","YWHAG"
"ARHGEF6","CDC42"
"ARHGEF6","PAK1"
"ARHGEF6","PAK3"
"ARHGEF6","TGFBR1"
"ARHGEF6","TMEM108"
"ARHGEF7","CBLB"
"ARHGEF7","GIT2"
"ARHGEF7","PAK3"
"ARHGEF7","YWHAG"
"ARID3A","E2F1"
"ARID4A","SIN3A"
"ARIH2","CBR3"
"ARL15","CCDC90B"
"ARL15","GAPDH"
"ARL15","GRIPAP1"
"ARL15","RPL8"
"ARL15","UBR1"
"ARL15","UNC119"
"ARL2","UNC119"
"ARL4D","EML4"
"ARL5A","CBX1"
"ARL5A","CBX5"
"ARNT","AHR"
"ARNT","ARNT2"
"ARNT","EP300"
"ARNT","EPAS1"
"ARNT","NCOA1"
"ARNT","NCOA2"
"ARNT","SIM1"
"ARNT","TRIP11"
"ARNT","UBE2I"
"ARNT2","ARNT"
"ARNTL","AHR"
"ARNTL","BHLHE40"
"ARNTL","CLOCK"
"ARNTL","HIF1A"
"ARNTL","PER3"
"ARPC1B","ACTB"
"ARPC1B","WAS"
"ARPC3","LTA4H"
"ARPC4","ARPC3"
"ARPC5","MAPKAPK2"
"ARRB1","AP1B1"
"ARRB1","AP2B1"
"ARRB1","GNPAT"
"ARRB1","HNRNPA1"
"ARRB1","MAPK3"
"ARRB2","AIP"
"ARRB2","AP1B1"
"ARRB2","AP2B1"
"ARRB2","DVL2"
"ARRB2","HIPK3"
"ARRB2","YAF2"
"ASAP1","HCK"
"ASAP1","SH3KBP1"
"ASAP2","BIN1"
"ASAP2","RAN"
"ASAP2","SH3KBP1"
"ASCC2","MED31"
"ASCC2","SNRPB"
"ASCC2","TBC1D17"
"ASCC2","TRIP4"
"ASCC3","TRIP4"
"ASF1A","HIST1H3C"
"ASGR1","DHFR"
"ASGR1","HSP90AA1"
"ASGR2","ASGR1"
"ATF1","CREB1"
"ATF1","CREBBP"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF2","AR"
"ATF2","ATF7"
"ATF2","CEBPA"
"ATF2","CREB5"
"ATF2","GTF2F2"
"ATF2","HMGA1"
"ATF2","RB1"
"ATF2","UBE2I"
"ATF2","UTF1"
"ATF3","BATF3"
"ATF3","JUN"
"ATF3","JUNB"
"ATF3","JUND"
"ATF4","BATF"
"ATF4","CEBPB"
"ATF4","DDIT3"
"ATF4","GPS2"
"ATF4","LDOC1"
"ATF4","NFE2L2"
"ATF5","CCND3"
"ATF5","CDC34"
"ATF7IP","ACTB"
"ATF7IP","DISC1"
"ATF7IP","GTF2F1"
"ATF7IP","GTF2H1"
"ATF7IP","LAMA4"
"ATF7IP","LUC7L2"
"ATF7IP","PCDH1"
"ATF7IP","PEX6"
"ATF7IP","POLR2D"
"ATF7IP","POLR2G"
"ATF7IP","QRICH1"
"ATF7IP","RRBP1"
"ATF7IP","SETDB1"
"ATF7IP","SPTBN1"
"ATF7IP","SVEP1"
"ATF7IP","TTC3"
"ATG12","ATG3"
"ATM","CHEK1"
"ATM","EIF4EBP1"
"ATM","H2AFX"
"ATM","MDC1"
"ATM","MDM4"
"ATM","MRE11A"
"ATM","NBN"
"ATM","PRKDC"
"ATM","RAD17"
"ATM","RAD9A"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XRCC5"
"ATN1","AES"
"ATN1","AGRN"
"ATN1","CRIP2"
"ATN1","DMPK"
"ATN1","EWSR1"
"ATN1","MEGF8"
"ATN1","NOC2L"
"ATN1","PSMA3"
"ATN1","RBM10"
"ATN1","SYVN1"
"ATN1","VIM"
"ATN1","WDR5"
"ATP1A1","CFL1"
"ATP2B1","CSE1L"
"ATP2B1","MBIP"
"ATP2B1","SEC31A"
"ATP2B4","RASSF1"
"ATP5B","CDK4"
"ATP5B","RPP14"
"ATP5B","YWHAG"
"ATP5C1","CCND3"
"ATP5C1","PJA1"
"ATP5J2","CCDC137"
"ATP5J2","ZFPL1"
"ATP6V0C","PDPK1"
"ATP6V1A","ANXA7"
"ATP6V1A","TK1"
"ATP6V1B1","ACTN4"
"ATP6V1E1","XRCC6"
"ATPIF1","GSK3B"
"ATR","CHD4"
"ATR","MSH2"
"ATR","NBN"
"ATR","TREX1"
"ATR","XRCC5"
"ATRX","HDAC4"
"ATXN1","ANKHD1"
"ATXN1","ATXN1L"
"ATXN1","ATXN2"
"ATXN1","CDK6"
"ATXN1","DCTN3"
"ATXN1","FAM46A"
"ATXN1","GSPT1"
"ATXN1","HPCAL1"
"ATXN1","IPO8"
"ATXN1","KLHL12"
"ATXN1","KLHL8"
"ATXN1","MED15"
"ATXN1","PQBP1"
"ATXN1","PSMC3"
"ATXN1","PUM1"
"ATXN1","RAD54L2"
"ATXN1","SPEN"
"ATXN1","TBC1D5"
"ATXN1","TRIM32"
"ATXN1","U2AF2"
"ATXN1","UBE2E3"
"ATXN1","USP7"
"ATXN1L","AES"
"ATXN1L","ANKHD1"
"ATXN1L","CBFA2T2"
"ATXN1L","CHD6"
"ATXN1L","CTBP1"
"ATXN1L","FUS"
"ATXN1L","RAD54L2"
"ATXN1L","TRIP11"
"ATXN2","ATXN1"
"ATXN2","TDRD7"
"ATXN2","ZNRD1"
"ATXN3","ANXA7"
"ATXN3","RAD23A"
"ATXN3","RAD23B"
"ATXN3","TK1"
"ATXN7","TP53BP2"
"ATXN7L3","SERTAD1"
"AUP1","ITGA2B"
"AUP1","RNF11"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","NME1"
"AURKA","PPP1CC"
"AURKB","INCENP"
"AURKB","PSMA3"
"AVPR1A","GRK5"
"AVPR1A","PRKCA"
"AVPR1B","GRK5"
"AVPR2","ARRB2"
"AVPR2","AVP"
"AVPR2","C1QTNF1"
"AVPR2","GRK5"
"AXIN1","APC"
"AXIN1","CSNK1A1"
"AXIN1","CSNK1E"
"AXIN1","CTNNB1"
"AXIN1","DAB2"
"AXIN1","DVL1"
"AXIN1","DVL2"
"AXIN1","GAK"
"AXIN1","GSK3B"
"AXIN1","JUP"
"AXIN1","PIAS1"
"AXIN1","PPP2CA"
"AXIN1","PPP2CB"
"AXIN1","PPP2R5C"
"AXIN1","SENP2"
"AXIN1","SH3GL1"
"AXIN1","UTP14A"
"AXL","ADAM10"
"AXL","CBL"
"AXL","GAS6"
"AXL","GRB2"
"AXL","IL2RG"
"AXL","LCK"
"AXL","NCK2"
"AXL","PIK3R1"
"AXL","PIK3R3"
"AXL","SHC1"
"AXL","SOCS1"
"AXL","TENC1"
"B2M","CD1B"
"B2M","HLA-A"
"B2M","PRSS23"
"BACE1","APP"
"BACE1","CSNK1D"
"BACE1","PSAP"
"BACH1","MAFK"
"BAD","BCL2L1"
"BAD","EWSR1"
"BAD","MAPK8"
"BAD","PPP1CA"
"BAD","RPS6KA1"
"BAD","SFN"
"BAD","WASF1"
"BAD","YWHAG"
"BAD","YWHAQ"
"BAG1","BCL2"
"BAG1","PSMD1"
"BAG3","HSPA1A"
"BAG4","BCL2"
"BAG4","HSPA1A"
"BAHD1","MEGF10"
"BAIAP2","ATN1"
"BAIAP2","CDC42"
"BAIAP2","DIAPH1"
"BAIAP2","NCKIPSD"
"BAIAP2","YWHAG"
"BAK1","ARHGDIA"
"BAK1","DBN1"
"BARD1","IKBKAP"
"BARD1","KBTBD7"
"BARD1","MDC1"
"BARD1","MSH2"
"BARD1","POLR2A"
"BARD1","SETDB1"
"BARD1","TCERG1"
"BATF3","CREB3L3"
"BAX","BAK1"
"BAX","BCL2L1"
"BAX","BID"
"BAX","ERN1"
"BAX","MCL1"
"BAX","NOL3"
"BAX","SFN"
"BAX","SH3GLB1"
"BAX","YWHAQ"
"BBS10","MAP3K7"
"BBS10","MAPK6"
"BBS4","PCM1"
"BCAP31","ACTG1"
"BCAP31","APP"
"BCAP31","CASP8"
"BCAP31","MYH10"
"BCAR1","CASP3"
"BCAR1","CD2AP"
"BCAR1","CSPG4"
"BCAR1","DOCK1"
"BCAR1","PKD1"
"BCAR1","PPP1R15A"
"BCAR1","PTPN12"
"BCAR1","TRIP6"
"BCCIP","CDKN1A"
"BCL10","AKT1"
"BCL10","CARD9"
"BCL10","CHUK"
"BCL10","IKBKG"
"BCL10","MALT1"
"BCL10","MAP3K7"
"BCL10","UBE2N"
"BCL2","HRK"
"BCL2","MAPK1"
"BCL2","MAPK8"
"BCL2A1","BAK1"
"BCL2A1","BID"
"BCL2L1","AVEN"
"BCL2L1","BAK1"
"BCL2L1","FBP1"
"BCL2L1","PPP1CA"
"BCL2L1","RAD9A"
"BCL2L11","BCL2"
"BCL2L11","MAPK8"
"BCL2L11","MAPK9"
"BCL3","FOS"
"BCL3","GTF2A1"
"BCL3","JUN"
"BCL3","NFKB2"
"BCR","ERCC3"
"BCR","MAP4K5"
"BCR","UNC119"
"BDKRB2","GNA11"
"BDKRB2","GRK5"
"BDKRB2","NOS3"
"BDKRB2","PTPN11"
"BDP1","RB1"
"BECN1","BCL2"
"BEGAIN","BAHD1"
"BEGAIN","DTNB"
"BEGAIN","RBL1"
"BEND5","CTNNBIP1"
"BEND5","USP2"
"BEND5","USP7"
"BGN","BMP4"
"BGN","COL4A2"
"BHLHE40","ARNTL"
"BICD2","NEK9"
"BICD2","RAB6A"
"BID","BAK1"
"BID","CASP10"
"BID","SETDB1"
"BIN1","ATXN2"
"BIN1","DNM2"
"BIN1","RIN3"
"BIN1","SH3GL2"
"BIN1","SH3GLB1"
"BIRC2","CASP3"
"BIRC2","CASP7"
"BIRC2","DIABLO"
"BIRC2","FBXO7"
"BIRC2","GSPT1"
"BIRC2","HTRA2"
"BIRC2","IKBKG"
"BIRC2","JUP"
"BIRC2","RIPK2"
"BIRC2","TRADD"
"BIRC2","UBE2J1"
"BIRC3","CASP3"
"BIRC3","CASP7"
"BIRC3","DIABLO"
"BIRC5","AURKB"
"BIRC5","CASP9"
"BIRC5","CDK4"
"BIRC5","INCENP"
"BIRC6","DIABLO"
"BLM","WRN"
"BLNK","BANP"
"BLNK","CAMK2A"
"BLNK","LAT2"
"BLNK","NAP1L1"
"BLNK","TPI1"
"BLOC1S2","BLOC1S1"
"BMI1","CBX8"
"BMI1","RING1"
"BMI1","RNF2"
"BMP1","CHRD"
"BMP1","COL1A1"
"BMP1","COL5A1"
"BMP1","COL7A1"
"BMP1","HSPG2"
"BMP1","LAMB3"
"BMP2","ACVR1"
"BMP2","BMPR2"
"BMP4","BMPER"
"BMP4","GREM2"
"BMP7","NOG"
"BMP7","SOSTDC1"
"BMPR1A","BMP5"
"BMPR1A","BMP7"
"BMPR1A","BMPR2"
"BMPR1A","TGFBRAP1"
"BMPR1A","ZMYND11"
"BMPR1B","BMP7"
"BMPR1B","CDK4"
"BMPR1B","NKIRAS1"
"BMPR1B","RAN"
"BMPR2","CTBP1"
"BMPR2","HNRNPR"
"BMPR2","LSM10"
"BMPR2","LSP1"
"BMPR2","MAPK8"
"BMPR2","MOS"
"BMPR2","PDZRN3"
"BMPR2","PMPCA"
"BMPR2","RABGGTA"
"BMPR2","TOPBP1"
"BMPR2","TUBB"
"BMX","ITK"
"BMX","SRC"
"BNIP3L","EWSR1"
"BNIP3L","RINT1"
"BRAF","MAPK1"
"BRAF","RAP1GAP"
"BRAF","YWHAB"
"BRAF","YWHAG"
"BRAF","YWHAQ"
"BRCA1","AR"
"BRCA1","ATF1"
"BRCA1","BRCA2"
"BRCA1","BRCC3"
"BRCA1","BRIP1"
"BRCA1","CCNA2"
"BRCA1","CCND1"
"BRCA1","CDK2"
"BRCA1","CREB1"
"BRCA1","CREBBP"
"BRCA1","DCLRE1C"
"BRCA1","DHX9"
"BRCA1","E2F1"
"BRCA1","EP300"
"BRCA1","FAM175A"
"BRCA1","HDAC1"
"BRCA1","JUN"
"BRCA1","JUNB"
"BRCA1","JUND"
"BRCA1","KPNA1"
"BRCA1","KPNA2"
"BRCA1","KPNA6"
"BRCA1","LMO4"
"BRCA1","MED1"
"BRCA1","MLH1"
"BRCA1","MSH2"
"BRCA1","MYC"
"BRCA1","NBN"
"BRCA1","NFYA"
"BRCA1","NUFIP1"
"BRCA1","POLR2K"
"BRCA1","POU2F1"
"BRCA1","RAD51"
"BRCA1","RBBP4"
"BRCA1","RELA"
"BRCA1","RFC1"
"BRCA1","SMAD2"
"BRCA1","SMAD4"
"BRCA1","SP1"
"BRCA1","TP53BP1"
"BRCA1","TRRAP"
"BRCA1","UBE2D3"
"BRCA2","C11orf30"
"BRCA2","KAT2B"
"BRCA2","RAD51"
"BRCA2","SHFM1"
"BRD4","RFC1"
"BRF1","GTF3C3"
"BRF1","GTF3C4"
"BRF1","GTF3C5"
"BRF1","RBL1"
"BRF1","RBL2"
"BRMS1","HDAC2"
"BRMS1","RBBP4"
"BRMS1","SIN3A"
"BSG","PDLIM7"
"BSPRY","ZYX"
"BTBD1","TRIM5"
"BTC","EGFR"
"BTG1","CCNA2"
"BTK","BLNK"
"BTK","BMX"
"BTK","CAV1"
"BTK","CBL"
"BTK","CMTM3"
"BTK","DAPP1"
"BTK","EEF1A2"
"BTK","FAS"
"BTK","GNG2"
"BTK","HCK"
"BTK","ITK"
"BTK","KIT"
"BTK","LYN"
"BTK","MAN2B1"
"BTK","MYD88"
"BTK","PIK3AP1"
"BTK","PIP4K2A"
"BTK","PLCG1"
"BTK","PLCG2"
"BTK","PRKCA"
"BTK","PRKCB"
"BTK","PRKCE"
"BTK","PRKCQ"
"BTK","PRKCZ"
"BTK","PRKD1"
"BTK","SH3BP5"
"BTK","SYK"
"BTK","TEC"
"BTK","TLR4"
"BTK","VAV1"
"BTK","WAS"
"BTRC","CDC34"
"BTRC","DBN1"
"BTRC","FBXW11"
"BTRC","HNRNPU"
"BTRC","KIAA0947"
"BTRC","SUFU"
"BTRC","UBQLN2"
"BTRC","WEE1"
